Date,open,high,low,close,adjusted close,volume,dividend amount,split coefficient
2021-12-03,2270.0698,2274.4456,2187.9785,2195.317,2181.0209,385570,0.0000,1.0
2021-12-06,2207.0313,2210.2676,2148.8244,2154.4309,2140.401,406872,0.0000,1.0
2021-12-07,2171.2047,2191.3059,2163.775,2171.1135,2156.975,243374,0.0000,1.0
2021-12-08,2212.5011,2216.5578,2194.3598,2203.7495,2189.3985,655272,0.0000,1.0
2021-12-09,2216.2387,2256.1676,2211.088,2238.8013,2224.222,170477,0.0000,1.0
2021-12-10,2227.9986,2248.1454,2215.6917,2241.6273,2227.0296,127783,0.0000,1.0
2021-12-13,2251.7007,2255.803,2192.4454,2196.8212,2182.5153,285664,0.0000,1.0
2021-12-14,2177.8595,2193.357,2163.7294,2170.0196,2155.8882,286591,0.0000,1.0
2021-12-15,2174.0763,2191.9896,2153.0179,2162.8178,2148.7333,271038,0.0000,1.0
2021-12-16,2191.5338,2201.1058,2159.6271,2191.944,2177.6699,147405,0.0000,1.0
2021-12-17,2183.3292,2195.864,2114.9577,2134.2385,2120.3401,426622,0.0000,1.0
2021-12-20,2110.3996,2115.7782,2049.3211,2075.9404,2062.4217,1104898,0.0000,1.0
2021-12-21,2100.9188,2137.7482,2090.344,2105.9327,2092.2187,165141,0.0000,1.0
2021-12-22,2109.9438,2162.362,2109.9438,2156.8467,2142.8011,244736,0.0000,1.0
2021-12-23,2162.362,2169.6549,2150.4653,2155.6616,2141.6237,127047,0.0000,1.0
2021-12-24,2157.8039,2180.5032,2131.0478,2162.5899,2148.5069,182225,0.0000,1.0
2021-12-27,2154.0662,2167.6038,2141.3491,2160.3564,2146.288,79886,0.0000,1.0
2021-12-28,2173.3014,2192.4454,2164.5043,2185.7906,2171.5565,100293,0.0000,1.0
2021-12-29,2180.5032,2204.6611,2171.8884,2190.6678,2176.4019,136021,0.0000,1.0
2021-12-30,2186.0641,2192.6733,2138.6599,2148.1863,2134.1971,395909,0.0000,1.0
2021-12-31,2160.5387,2173.5749,2151.4681,2158.8522,2144.7936,181300,0.0000,1.0
2022-01-03,2158.2597,2196.0463,2155.9351,2191.8529,2177.5793,272926,0.0000,1.0
2022-01-04,2197.0035,2244.3622,2190.6222,2240.5334,2225.9428,559316,0.0000,1.0
2022-01-05,2242.7213,2257.4439,2217.9708,2248.0998,2233.46,256771,0.0000,1.0
2022-01-06,2237.1148,2237.1148,2196.0919,2203.0202,2188.6739,311647,0.0000,1.0
2022-01-07,2220.7056,2240.4422,2198.371,2220.6601,2206.1989,371610,0.0000,1.0
2022-01-10,2237.0692,2239.3483,2202.9746,2222.2098,2207.7386,166454,0.0000,1.0
2022-01-11,2216.2387,2255.4383,2216.2387,2237.9352,2223.3616,334250,0.0000,1.0
2022-01-12,2253.9342,2301.2472,2247.5073,2297.8287,2282.865,196309,0.0000,1.0
2022-01-13,2300.6547,2316.3801,2287.0715,2311.2751,2296.2238,272194,0.0000,1.0
2022-01-14,2306.3979,2339.672,2302.5691,2314.329,2299.2579,233864,0.0000,1.0
2022-01-17,2315.1494,2338.3046,2314.3746,2326.727,2311.5752,102051,0.0000,1.0
2022-01-18,2327.3651,2336.299,2293.1794,2298.0566,2283.0914,194301,0.0000,1.0
2022-01-19,2303.0249,2317.0183,2287.0715,2298.558,2283.5895,132491,0.0000,1.0
2022-01-20,2276.3144,2289.305,2238.0264,2259.723,2245.0074,202569,0.0000,1.0
2022-01-21,2233.6051,2280.827,2233.6051,2259.0848,2244.3735,320142,0.0000,1.0
2022-01-24,2259.0848,2282.7869,2144.7677,2167.4215,2153.307,579337,0.0000,1.0
2022-01-25,2155.7071,2177.4949,2101.329,2163.9117,2149.8201,439517,0.0000,1.0
2022-01-27,2137.7482,2147.3658,2107.6648,2131.5948,2117.7137,385697,0.0000,1.0
2022-01-28,2155.9806,2162.7266,2123.1623,2128.9967,2115.1325,2787192,0.0000,1.0
2022-01-31,2146.8644,2193.6761,2146.8644,2175.4437,2161.277,185589,0.0000,1.0
